treatment,baseline,pairing_index,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
flashbots-c10,dodo-k100000000000000000,3,netEdge,1000,0.0034385330416636536,-0.16578894501574837,0.000621300351056675,0.2044095975215896,0.0043521625893294105,-0.005091548888284576,0.011968614971611884,0.7900745827130207,0.515,false
flashbots-c10,dodo-k100000000000000000,3,retailEdge,1000,1.6786389619033224,-21.852558991763487,-1.0732141007000564,30.340266182937285,0.5793953191089847,0.5430450036386207,2.814232920168024,2.8972256187447196,0.431,true
flashbots-c20,dodo-k50000000000000000,4,arbitrageEdge,1000,-0.37720911183736733,-17.276610825986438,0.9365525974432103,13.06173376016281,0.3303791005588552,-1.0247402501774605,0.2703220265027258,-1.1417462884283431,0.62,false
flashbots-c20,dodo-k50000000000000000,4,netEdge,1000,0.0012517509673471423,-0.10004458120550908,-0.0003463796216749415,0.1086844181543114,0.0026330894846764083,-0.003909009590689749,0.006412511525384032,0.47539249031674113,0.492,false
flashbots-c20,dodo-k50000000000000000,4,retailEdge,1000,0.37846086280471414,-13.106380169423232,-0.925463047377427,17.02670173173206,0.330218001244418,-0.26875452668114796,1.0256762522905762,1.1460939784581523,0.382,false
flashbots-c50,dodo-k20000000000000000,5,arbitrageEdge,1000,0.005068997580611558,-6.871543535473407,0.43024804540511496,5.882370465891583,0.1412280990429595,-0.2717329901486447,0.28187098530986787,0.03589227366906386,0.633,false
flashbots-c50,dodo-k20000000000000000,5,netEdge,1000,0.0006070589426885293,-0.04307982539518207,-0.000002628718128505625,0.04513752622165157,0.001191673201616669,-0.0017285776138216804,0.002942695499198739,0.5094172981862563,0.499,false
flashbots-c50,dodo-k20000000000000000,5,retailEdge,1000,-0.004461938637922822,-5.917214595679177,-0.4316788863852743,6.848915090667273,0.14119075953967955,-0.2811907422855498,0.27226686500970415,-0.031602200118973515,0.366,false
flashbots-c100,dodo-k10000000000000000,6,arbitrageEdge,1000,0.03837260387960714,-3.3374713308198807,0.24702441415389842,3.092999006139536,0.07436677602495657,-0.1073835987756645,0.1841288065348788,0.5159912252580342,0.63,false
flashbots-c100,dodo-k10000000000000000,6,netEdge,1000,0.0005217595015059637,-0.02070444621562295,0.00011908726294507233,0.023191859050829322,0.0006307521560483881,-0.000714492007519865,0.0017580110105317923,0.8272020896048066,0.512,false
flashbots-c100,dodo-k10000000000000000,6,retailEdge,1000,-0.037850844378101135,-3.0984809828546496,-0.2468904859731591,3.2888147781479375,0.0743678121976675,-0.18360907789456796,0.1079073891383657,-0.5089681040702755,0.372,false
flashbots-c1000,dodo-k1000000000000000,7,arbitrageEdge,1000,0.020676838772806194,-0.35964227171797347,0.03928487572551376,0.32626378685051804,0.008089758956563943,0.004821202574330538,0.03653247497128185,2.555927671494987,0.652,true
flashbots-c1000,dodo-k1000000000000000,7,netEdge,1000,0.0004563499417172122,-0.005421901867712187,0.0001269717955345584,0.007240458991909338,0.00012113114557411781,0.0002189372589858629,0.0006937626244485614,3.7674038295789125,0.529,true
flashbots-c1000,dodo-k1000000000000000,7,retailEdge,1000,-0.020220488831088953,-0.33206541821760793,-0.03942479190837367,0.34932670921933484,0.00809484673024531,-0.03608609688274158,-0.0043548807794363265,-2.497945854309731,0.349,true
dodo-k1000000000000000000,univ2-zero-fee,,netEdge,1000,398.8777505303064,4.611098105524178,294.8656508291995,1106.5753767311412,11.730166851384222,375.88704596894775,421.86845509166506,34.00443962851532,0.999,true
dodo-k1000000000000000000,univ2-zero-fee,,retailEdge,1000,-2.649141354664212,-18.657512269341055,-1.4789949266137796,10.087199207957383,0.3614253096865616,-3.357521944751108,-1.9407607645773157,-7.329706259258996,0.365,true
dodo-k1000000000000000000,univ2-zero-fee,,arbitrageEdge,1000,401.5268918849708,4.838383077280383,293.6339209532338,1105.519752605172,11.761018534654328,378.47571913554026,424.5780646344013,34.14048627692025,0.984,true
flashbots-c1,univ2-zero-fee,,netEdge,1000,398.88495853587773,4.614840087828867,294.8703610163406,1106.561142025874,11.730385177552384,375.89382606309255,421.8760910086629,34.004421210242604,0.999,true
flashbots-c1,univ2-zero-fee,,retailEdge,1000,-1.971445110807138,-29.601164913581783,-1.3460566244774554,20.589400680418862,0.5709018255075051,-3.090392127510018,-0.8524980941042577,-3.4532121333726953,0.422,true
flashbots-c1,univ2-zero-fee,,arbitrageEdge,1000,400.85640364668393,5.150602050213649,291.41467591892416,1109.685815862371,11.84237550740611,377.6457741607687,424.06703313259914,33.84932384520252,0.982,true
dodo-k500000000000000000,univ2-zero-fee,,netEdge,1000,398.8746354923991,4.60497485797309,294.8648051231594,1106.5418237371628,11.730313828362375,375.8836428614567,421.8656281233415,34.003748009535094,0.999,true
dodo-k500000000000000000,univ2-zero-fee,,retailEdge,1000,-93.6161693529582,-236.3573335074882,-74.67238838859902,-18.26843472899887,2.2017583998151182,-97.93153651925437,-89.30080218666203,-42.518820121598786,0.003,true
dodo-k500000000000000000,univ2-zero-fee,,arbitrageEdge,1000,492.49080484535654,56.45541862282579,385.34321497347423,1206.3607090885878,12.05938698433821,468.85484068042257,516.1267690102906,40.838792675362775,0.999,true
flashbots-c2,univ2-zero-fee,,netEdge,1000,398.8805069148987,4.609123903959485,294.8765110268164,1106.6262696713388,11.730516211792752,375.8891176197217,421.87189621007576,34.00366187754823,0.999,true
flashbots-c2,univ2-zero-fee,,retailEdge,1000,-89.47066543599453,-242.10597297262393,-70.81670544731904,-11.88947152236409,2.2532620636168477,-93.88697792841396,-85.05435294357511,-39.70717249478729,0.016,true
flashbots-c2,univ2-zero-fee,,arbitrageEdge,1000,488.3511723508925,55.25609972851339,376.2558703265147,1202.1569922656477,12.133450293996203,464.570046766453,512.132297935332,40.24833501749583,0.999,true
dodo-k200000000000000000,univ2-zero-fee,,netEdge,1000,398.860871633361,4.616389675292169,294.8886628752364,1106.5275081380723,11.730545172522284,375.86942557619716,421.85231769052484,34.001904069015964,0.999,true
dodo-k200000000000000000,univ2-zero-fee,,retailEdge,1000,-255.50980232489547,-572.1804380188754,-215.48240631566017,-85.27148319496224,4.951753670339778,-265.21506117907546,-245.8045434707155,-51.59986124821975,0,true
dodo-k200000000000000000,univ2-zero-fee,,arbitrageEdge,1000,654.3706739582565,151.98307212759408,568.8915650192657,1426.9624687337323,12.859706418223881,629.1661125267791,679.5752353897338,50.88535093079014,1,true
flashbots-c5,univ2-zero-fee,,netEdge,1000,398.8700004379309,4.619811246526979,294.88805610838693,1106.5233938223528,11.730830181995715,375.87799577246386,421.86200510339796,34.001856155936004,0.999,true
flashbots-c5,univ2-zero-fee,,retailEdge,1000,-251.9882449184742,-580.6107505575534,-208.47350029893016,-78.9680786191463,4.949648258855216,-261.68937724197184,-242.2871125949766,-50.91033377324383,0,true
flashbots-c5,univ2-zero-fee,,arbitrageEdge,1000,650.8582453564043,149.58196777162192,564.061340929131,1408.8340019715497,12.884209272027174,625.605659213954,676.1108314988545,50.515963503439714,1,true
dodo-k100000000000000000,univ2-zero-fee,,netEdge,1000,398.8539364507863,4.613434445639932,294.89710218068046,1106.4733032450313,11.730824717645186,375.8619424952495,421.84593040632313,34.00050261179345,0.999,true
dodo-k100000000000000000,univ2-zero-fee,,retailEdge,1000,-359.79740168785787,-801.4903306589542,-307.22766664077267,-118.18495861715708,6.690570483542888,-372.91067887162865,-346.6841245040871,-53.77678967329745,0,true
dodo-k100000000000000000,univ2-zero-fee,,arbitrageEdge,1000,758.6513381386441,208.1681887060024,676.8041368722618,1576.523392894909,13.527446463772904,732.1380302668555,785.1646460104326,56.08237594363028,1,true
flashbots-c10,univ2-zero-fee,,netEdge,1000,398.8573749838275,4.615779471749605,294.89997279593894,1106.4578974227147,11.730963552033291,375.8651089178902,421.84964104976484,34.00039333637643,0.999,true
flashbots-c10,univ2-zero-fee,,retailEdge,1000,-358.1187627259543,-800.471412085787,-306.2430213713165,-117.0511848779396,6.677592387673529,-371.20660330923323,-345.03092214267537,-53.62992257314507,0,true
flashbots-c10,univ2-zero-fee,,arbitrageEdge,1000,756.9761377097811,207.71217513500676,677.8191801846654,1562.8148325827651,13.513157857834093,730.4908349910219,783.4614404285404,56.017708493720676,1,true
dodo-k50000000000000000,univ2-zero-fee,,netEdge,1000,398.84808241128843,4.601025780486765,294.90631017514505,1106.4280570735439,11.7309454612218,375.8558518026901,421.84031301988676,33.999653628067215,0.999,true
dodo-k50000000000000000,univ2-zero-fee,,retailEdge,1000,-428.27188835085576,-915.0829114018488,-371.61318676102917,-144.28131304120382,7.724150294888692,-443.41094474001204,-413.1328319616995,-55.44582536596374,0,true
dodo-k50000000000000000,univ2-zero-fee,,arbitrageEdge,1000,827.119970762143,236.42984017361937,749.9844185525492,1667.2618718334581,14.05293358316235,799.5767270620114,854.6632144622746,58.857459609228094,1,true
flashbots-c20,univ2-zero-fee,,netEdge,1000,398.8493341622556,4.60207717690966,294.9102953572738,1106.4452314259245,11.731023250301897,375.8569510898619,421.8417172346493,33.99953487876612,0.999,true
flashbots-c20,univ2-zero-fee,,retailEdge,1000,-427.8934274880513,-913.461471300841,-371.79103036016113,-142.97397702905022,7.716757211621215,-443.0179937002686,-412.768861275834,-55.449901526467116,0,true
flashbots-c20,univ2-zero-fee,,arbitrageEdge,1000,826.7427616503085,237.12915461329894,749.2096991516624,1668.2193444945715,14.04041347321038,799.2240569147652,854.2614663858517,58.883077996795734,1,true
dodo-k20000000000000000,univ2-zero-fee,,netEdge,1000,398.84422441310767,4.608830421009259,294.9128969765339,1106.4295815648268,11.731036698422598,375.8518149828817,421.83663384333363,33.99906032744215,0.999,true
dodo-k20000000000000000,univ2-zero-fee,,retailEdge,1000,-472.45737963510163,-996.0984550358922,-415.2607088970998,-157.8762683289009,8.415947901001367,-488.9523344168298,-455.9624248533735,-56.1383441524022,0,true
dodo-k20000000000000000,univ2-zero-fee,,arbitrageEdge,1000,871.30160404821,260.129078389448,795.1262593971171,1717.750003342841,14.448411844318422,842.983237199544,899.6199708968761,60.30431672605137,1,true
flashbots-c50,univ2-zero-fee,,netEdge,1000,398.84483147205106,4.609629544401075,294.9247385649676,1106.429327006322,11.731077285470358,375.85234249267324,421.83732045142887,33.998994445807995,0.999,true
flashbots-c50,univ2-zero-fee,,retailEdge,1000,-472.46184157374023,-991.3794649267653,-415.19640691398587,-157.5251846956435,8.415811139971675,-488.95652830877566,-455.9671548387048,-56.13978661305016,0,true
flashbots-c50,univ2-zero-fee,,arbitrageEdge,1000,871.3066730457923,261.4528623440205,797.8606523752343,1719.0911496421998,14.444853631623687,842.9952801658573,899.6180659257274,60.31952245872998,1,true
dodo-k10000000000000000,univ2-zero-fee,,netEdge,1000,398.84293861872146,4.602409543174218,294.9136003449338,1106.4340100576858,11.731070027944856,375.85046386383226,421.83541337361066,33.99885412572156,0.999,true
dodo-k10000000000000000,univ2-zero-fee,,retailEdge,1000,-487.4641463317856,-1022.6655238076373,-429.39526981563466,-162.11554940370544,8.657436550020785,-504.43241016826704,-470.4958824953042,-56.305829504533335,0,true
dodo-k10000000000000000,univ2-zero-fee,,arbitrageEdge,1000,886.3070849505087,269.96018426659356,812.4174648882879,1740.4150172776756,14.592930533857968,857.7054666752523,914.9087032257652,60.73537339838166,1,true
flashbots-c100,univ2-zero-fee,,netEdge,1000,398.84346037822314,4.602845410689431,294.9198624547371,1106.4330596031903,11.731093395044514,375.8509398246602,421.8359809317861,33.99883088022331,0.999,true
flashbots-c100,univ2-zero-fee,,retailEdge,1000,-487.5019971761647,-1022.4864064556224,-428.9385600855702,-162.32356533483943,8.658521957039545,-504.47238837131147,-470.53160598101795,-56.30314268358657,0,true
flashbots-c100,univ2-zero-fee,,arbitrageEdge,1000,886.3454575543861,270.53965461025257,811.4078410492614,1745.206420963047,14.591471941555266,857.746698067511,914.9442170412613,60.74407442268727,1,true
dodo-k1000000000000000,univ2-zero-fee,,netEdge,1000,398.8413692481032,4.60631453797933,294.9140150488261,1106.4297205263317,11.731088308672604,375.848858663646,421.8338798325604,33.9986673660317,0.999,true
dodo-k1000000000000000,univ2-zero-fee,,retailEdge,1000,-501.0565318751961,-1052.7257136274131,-444.7591668206524,-165.66916430475825,8.880780943321717,-518.4625426786963,-483.65052107169583,-56.420323288346275,0,true
dodo-k1000000000000000,univ2-zero-fee,,arbitrageEdge,1000,899.897901123301,279.9466013542232,829.420557959477,1760.0769249992059,14.728912420042217,871.0297632485737,928.7660389980284,61.09737606279566,1,true
flashbots-c1000,univ2-zero-fee,,netEdge,1000,398.84182559804435,4.607558529977975,294.91658150847786,1106.436399055847,11.731101116654326,375.84928991040425,421.83436128568445,33.9986691472482,0.999,true
flashbots-c1000,univ2-zero-fee,,retailEdge,1000,-501.0767523640275,-1052.3987564690512,-444.78334998125547,-165.6362263815241,8.880894633331316,-518.482985995852,-483.6705187322031,-56.4218778684089,0,true
flashbots-c1000,univ2-zero-fee,,arbitrageEdge,1000,899.9185779620736,280.0287286869737,829.32882800822,1760.7300095128785,14.728618523395381,871.0510161141892,928.7861398099581,61.09999906186829,1,true
univ3-full-range-zero-fee,univ2-zero-fee,,netEdge,1000,0.0041692172758941975,-0.1707028139551312,0.0025024291764452755,0.172991064786288,0.0032207074257803083,-0.002143253283375916,0.010481687835164311,1.2945035747492915,0.517,false
univ3-full-range-zero-fee,univ2-zero-fee,,retailEdge,1000,-0.007258271699564674,-0.4033172420096207,0.002278126923556556,0.3614877275148274,0.008941379459007682,-0.024783053411325962,0.010266510012196615,-0.811761958301924,0.509,false
univ3-full-range-zero-fee,univ2-zero-fee,,arbitrageEdge,1000,0.01142748897546025,-0.41357354381102596,0.007124105997490915,0.4282397041306467,0.00951267014534252,-0.007217001906220492,0.030071979857140992,1.2012914145935398,0.517,false
univ3-conc-c2,univ2-zero-fee,,netEdge,1000,-397.59513888717845,-1113.3212680023464,-291.2276192610901,-4.8661012321339285,11.686075979807235,-420.4994269281992,-374.6908508461577,-34.02298081701647,0,true
univ3-conc-c2,univ2-zero-fee,,retailEdge,1000,-91.9325983686232,-236.7794508824892,-72.84436972912101,-14.583264371882834,2.2285050236200505,-96.30038795428509,-87.56480878296132,-41.25303618085865,0.008,true
univ3-conc-c2,univ2-zero-fee,,arbitrageEdge,1000,-305.6625405185554,-1001.4553889613171,-204.3368501891382,131.84911218823265,11.794537906222674,-328.77941002904424,-282.5456710080665,-25.91560118326391,0.251,true
univ3-conc-c5,univ2-zero-fee,,netEdge,1000,-1174.6741372525812,-3463.5502601389217,-850.4557525802891,-15.102845297514364,35.46900362995275,-1244.192106934809,-1105.1561675703533,-33.11832916165133,0.009,true
univ3-conc-c5,univ2-zero-fee,,retailEdge,1000,-280.2432544008194,-642.9588658009542,-229.30802562976817,-88.40759322318615,5.675619043898871,-291.3672633168309,-269.11924548480795,-49.37668512161205,0,true
univ3-conc-c5,univ2-zero-fee,,arbitrageEdge,1000,-894.4308828517637,-3203.0231724245027,-582.484632491667,369.74671903634214,36.106537156751905,-965.1983952854547,-823.6633704180728,-24.77199292107982,0.273,true
univ3-conc-c10,univ2-zero-fee,,netEdge,1000,-1662.978177382011,-5236.21559060107,-1098.215917111962,-13.326233232742652,54.87714103503611,-1770.5353973852068,-1555.420957378815,-30.303659156009758,0.026,true
univ3-conc-c10,univ2-zero-fee,,retailEdge,1000,-386.3432124586462,-861.6091832891038,-330.95240234691767,-127.36646782640118,7.149902601187765,-400.3567640499434,-372.32966086734893,-54.03475180129944,0,true
univ3-conc-c10,univ2-zero-fee,,arbitrageEdge,1000,-1276.6349649233653,-4921.272756506009,-726.6308332767228,548.4677740444426,55.94297955799211,-1386.2811900448903,-1166.9887398018402,-22.8202890695153,0.269,true
univ3-conc-c20,univ2-zero-fee,,netEdge,1000,-2006.5892072770641,-6535.037066207045,-1295.1517437641514,-14.479798245578309,68.62900966294438,-2141.0995945110863,-1872.0788200430418,-29.238207241106437,0.038,true
univ3-conc-c20,univ2-zero-fee,,retailEdge,1000,-429.8154537883532,-924.6305762337525,-377.8107148472998,-147.54648461805564,7.524538672447958,-444.56327858663,-415.06762899007634,-57.12183463980009,0,true
univ3-conc-c20,univ2-zero-fee,,arbitrageEdge,1000,-1576.7737534887133,-5967.837286559667,-904.7338602967019,641.2695601704877,69.72045698563596,-1713.4233381662339,-1440.1241688111927,-22.615654309517296,0.258,true
univ3-conc-c50,univ2-zero-fee,,netEdge,1000,-2269.3566325491165,-7467.286063915329,-1476.0599252670154,3.383416869424849,79.52228386206413,-2425.217444887133,-2113.4958202111,-28.53736741874068,0.053,true
univ3-conc-c50,univ2-zero-fee,,retailEdge,1000,-435.86848894060415,-932.9652850882535,-379.69057304538666,-151.819468694866,7.659487798576943,-450.88080916583897,-420.85616871536934,-56.90569662133077,0,true
univ3-conc-c50,univ2-zero-fee,,arbitrageEdge,1000,-1833.488143608515,-7051.587850952542,-1019.5886226213877,637.2654943721359,80.51727209608771,-1991.2990970502588,-1675.6771901667712,-22.771364402664645,0.246,true
univ3-conc-c100,univ2-zero-fee,,netEdge,1000,-2350.679604233277,-7888.83601505421,-1455.1569804604421,33.88510785442156,82.32028676653327,-2512.0244014926916,-2189.3348069738627,-28.555289304324063,0.056,true
univ3-conc-c100,univ2-zero-fee,,retailEdge,1000,-429.79889688675513,-911.2784199911147,-375.6014445568983,-147.49469036666048,7.583393504156589,-444.662075035497,-414.93571873801324,-56.6763279066522,0,true
univ3-conc-c100,univ2-zero-fee,,arbitrageEdge,1000,-1920.8807073465193,-7535.59006990166,-1036.405920380489,618.0015060368773,83.24749603919044,-2084.0428013864735,-1757.7186133065652,-23.07433615111049,0.238,true
univ3-conc-c1000,univ2-zero-fee,,netEdge,1000,-2406.374686558748,-8115.57655999865,-1479.0493423928897,12.590444742908346,84.55138865745364,-2572.0923631702058,-2240.6570099472906,-28.46049869515199,0.056,true
univ3-conc-c1000,univ2-zero-fee,,retailEdge,1000,-412.9427543235701,-869.1692302077404,-356.93869676109927,-138.6158379922933,7.366921376990349,-427.3816548994094,-398.50385374773083,-56.05363939587367,0,true
univ3-conc-c1000,univ2-zero-fee,,arbitrageEdge,1000,-1993.4319322351796,-7844.272244951451,-1107.1110631253218,594.4338624159066,85.1955874057643,-2160.412215192212,-1826.4516492781474,-23.39830022816774,0.224,true
dodo-k1000000000000000000,univ3-full-range-zero-fee,0,netEdge,1000,398.8735813130313,4.620591936702851,294.900699231254,1106.5501580496118,11.73017191246587,375.8828668321349,421.86429579392774,34.004069530229216,0.999,true
dodo-k1000000000000000000,univ3-full-range-zero-fee,0,retailEdge,1000,-2.6418830829646467,-18.680389401628986,-1.499428497934332,10.170208091607947,0.36137606760834673,-3.350167160351718,-1.9335990055775754,-7.310619932440781,0.36,true
dodo-k1000000000000000000,univ3-full-range-zero-fee,0,arbitrageEdge,1000,401.5154643959958,4.761488973177677,293.7086439643695,1105.4225314747562,11.76081139138845,378.46469763990603,424.5662311520856,34.14011593536778,0.984,true
flashbots-c1,univ3-full-range-zero-fee,0,netEdge,1000,398.88078931860116,4.62433391900754,294.97442039357895,1106.5359233443446,11.730390295337443,375.8896468151416,421.87193182206073,34.00405095448077,0.999,true
flashbots-c1,univ3-full-range-zero-fee,0,retailEdge,1000,-1.9641868391075723,-29.65104335501337,-1.3940919769431162,20.426747742659018,0.5709790047468095,-3.0832851243398434,-0.845088553875301,-3.4400333861287176,0.42,true
flashbots-c1,univ3-full-range-zero-fee,0,arbitrageEdge,1000,400.8449761577091,5.075589180056113,291.44738176983844,1109.7633297632162,11.842177734604922,377.6347342993613,424.05521801605687,33.84892417096306,0.983,true
dodo-k500000000000000000,univ3-full-range-zero-fee,,netEdge,1000,398.8704662751237,4.614468689151764,294.90525176662413,1106.5166050556334,11.73031883137827,375.8794638384503,421.8614687117971,34.003378084503254,0.999,true
dodo-k500000000000000000,univ3-full-range-zero-fee,,retailEdge,1000,-93.60891108125843,-237.02322734774384,-74.68178527165458,-18.755623265003464,2.2006144197854334,-97.92203608789738,-89.29578607461947,-42.53762505581763,0.003,true
dodo-k500000000000000000,univ3-full-range-zero-fee,,arbitrageEdge,1000,492.47937735638135,56.413497448407554,385.5852336357559,1206.4164068951818,12.058961563496652,468.8442470009751,516.1145077117876,40.83928576795137,0.999,true
flashbots-c2,univ3-full-range-zero-fee,,netEdge,1000,398.8763376976225,4.618617735138159,294.94177574588866,1106.6010509898094,11.730521313704314,375.88493840288254,421.86773699236244,34.00329167226615,0.999,true
flashbots-c2,univ3-full-range-zero-fee,,retailEdge,1000,-89.46340716429494,-242.18762111622596,-70.81597391221638,-11.820860214297511,2.252297654730959,-93.87782945003164,-85.04898487855823,-39.72095205816901,0.016,true
flashbots-c2,univ3-full-range-zero-fee,,arbitrageEdge,1000,488.3397448619173,55.29661836533603,376.348346390285,1201.2319348167903,12.133063695168124,464.55937699725735,512.1201127265773,40.24867561326608,0.999,true
dodo-k200000000000000000,univ3-full-range-zero-fee,,netEdge,1000,398.8567024160856,4.61662368348766,294.9241210473668,1106.502289456543,11.730550297314963,375.86524631451266,421.8481585176586,34.00153379909048,0.999,true
dodo-k200000000000000000,univ3-full-range-zero-fee,,retailEdge,1000,-255.50254405319632,-572.2386460693473,-215.29880352839808,-85.29708428416652,4.950631616751881,-265.2056037227553,-245.79948438363732,-51.610090152664604,0,true
dodo-k200000000000000000,univ3-full-range-zero-fee,,arbitrageEdge,1000,654.359246469281,152.16062314535455,568.7886536647111,1427.0276368697814,12.859057392869198,629.1559571041238,679.5625358344381,50.8870305557658,1,true
flashbots-c5,univ3-full-range-zero-fee,,netEdge,1000,398.8658312206545,4.614178482265828,294.97434891262924,1106.4981751408234,11.730835360810506,375.873816404897,421.857846036412,34.00148573844584,0.999,true
flashbots-c5,univ3-full-range-zero-fee,,retailEdge,1000,-251.98098664677426,-579.9656157515253,-209.0805236903644,-78.96368735028031,4.948562163968365,-261.6799902634098,-242.28198303013866,-50.9200406698953,0,true
flashbots-c5,univ3-full-range-zero-fee,,arbitrageEdge,1000,650.8468178674291,149.38800088215754,564.3976267769701,1407.5158964565417,12.88358685595907,625.5954516380557,676.0981840968025,50.51751698839921,1,true
dodo-k100000000000000000,univ3-full-range-zero-fee,,netEdge,1000,398.84976723351,4.61367867741717,294.8681149234184,1106.4480845635019,11.730829895754772,375.8577631290649,421.84177133795515,34.00013219677223,0.999,true
dodo-k100000000000000000,univ3-full-range-zero-fee,,retailEdge,1000,-359.79014341615806,-801.6043940585546,-307.5155437861702,-118.0817556553934,6.689455047275878,-372.9012343850185,-346.67905244729764,-53.784671677055975,0,true
dodo-k100000000000000000,univ3-full-range-zero-fee,,arbitrageEdge,1000,758.6399106496677,208.058472868065,676.6973508826405,1576.4569985187595,13.526687024083966,732.1280912523179,785.1517300470176,56.08467981102292,1,true
flashbots-c10,univ3-full-range-zero-fee,,netEdge,1000,398.85320576655215,4.6137011095711955,294.9347644234232,1106.4326787411853,11.73096876479572,375.8609294837882,421.8454820493161,34.00002282535254,0.999,true
flashbots-c10,univ3-full-range-zero-fee,,retailEdge,1000,-358.111504454255,-800.5901148211299,-306.3724853979084,-116.99961812841286,6.676486710926608,-371.1971779509314,-345.0258309575786,-53.63771695496326,0,true
flashbots-c10,univ3-full-range-zero-fee,,arbitrageEdge,1000,756.9647102208072,208.33450057667181,677.9051437915572,1562.3274945308467,13.512410212870313,730.4808728592502,783.4485475823642,56.01996226400918,1,true
dodo-k50000000000000000,univ3-full-range-zero-fee,,netEdge,1000,398.8439131940114,4.610519611665438,294.8818421681685,1106.4028383920145,11.730950671383436,375.8516723736839,421.8361540143389,33.999283124338255,0.999,true
dodo-k50000000000000000,univ3-full-range-zero-fee,,retailEdge,1000,-428.2646300791564,-915.1891073299028,-371.54500468055244,-144.26545045904382,7.72304773556603,-443.40152549174945,-413.12773466656336,-55.452801114632564,0,true
dodo-k50000000000000000,univ3-full-range-zero-fee,,arbitrageEdge,1000,827.1085432731701,236.32012433568195,749.9632362679132,1667.079230907015,14.052127140833209,799.5668801709592,854.650206375381,58.86002417881108,1,true
flashbots-c20,univ3-full-range-zero-fee,,netEdge,1000,398.84516494497956,4.611571008088333,294.9096127368403,1106.420012744395,11.731028486192699,375.8527716104284,421.8375582795307,33.99916430297789,0.999,true
flashbots-c20,univ3-full-range-zero-fee,,retailEdge,1000,-427.88616921635196,-913.4646743538669,-371.61712587199315,-143.04707119002683,7.715657258671915,-443.008579560404,-412.76375887229995,-55.45686580821546,0,true
flashbots-c20,univ3-full-range-zero-fee,,arbitrageEdge,1000,826.7313341613324,237.01943877536152,749.029105369513,1668.5042211283164,14.039612242407248,799.2141998093066,854.2484685133581,58.88562446647601,1,true
dodo-k20000000000000000,univ3-full-range-zero-fee,,netEdge,1000,398.84005519583275,4.612688156462548,294.8833658508527,1106.4043628832974,11.731041929413573,375.84763551305286,421.83247487861263,33.998689766491225,0.999,true
dodo-k20000000000000000,univ3-full-range-zero-fee,,retailEdge,1000,-472.45012136340233,-996.0027681722983,-414.78950843791347,-157.72434175362935,8.41485617929804,-488.9429364099108,-455.95730631689383,-56.144764841698546,0,true
dodo-k20000000000000000,univ3-full-range-zero-fee,,arbitrageEdge,1000,871.2901765592358,259.99840482635494,795.1426593427137,1717.604214385311,14.447580460183675,842.9734391935311,899.6069139249404,60.30699596797116,1,true
flashbots-c50,univ3-full-range-zero-fee,,netEdge,1000,398.8406622547749,4.612515910624095,294.89632015716757,1106.4041083247926,11.731082530182901,375.8481629959494,421.8331615136004,33.99862384640103,0.999,true
