strategy,family,parameter,side,input,output,average_price,slippage_bps
dodo-k100000000000000000,dodo,K=100000000000000000,buy_x,50,0.499748996,100.05022601386077,-5.020079999999982
dodo-k100000000000000000,dodo,K=100000000000000000,buy_x,100,0.998991944,100.1009073202296,-10.080559999999794
dodo-k100000000000000000,dodo,K=100000000000000000,buy_x,500,4.973964688,100.52343178195076,-52.07062400000018
dodo-k100000000000000000,dodo,K=100000000000000000,buy_x,1000,9.891419681,101.09772229368214,-108.58031900000009
dodo-k100000000000000000,dodo,K=100000000000000000,buy_x,2500,24.225498344,103.19705149096272,-309.8006624000005
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,0.0001,0.009999998,99.99998,-0.0020000000011677344
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,0.001,0.099999899,99.999899,-0.01009999999967981
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,0.01,0.999989999,99.9989999,-0.1000100000003723
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,0.1,9.998999199,99.98999199,-1.0008010000006617
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,0.5,49.974899655,99.94979931,-5.020069000000182
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,1,99.89919447,99.89919447,-10.080553000000325
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,5,497.396468805,99.479293761,-52.07062390000017
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,10,989.14196817,98.914196817,-108.58031830000003
dodo-k100000000000000000,dodo,K=100000000000000000,sell_x,25,2422.549834416,96.90199337664001,-309.80066233599945
flashbots-c10,flashbots,concentration=10,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
flashbots-c10,flashbots,concentration=10,buy_x,0.1,0.000999999,100.00010000010002,-0.01000000000139778
flashbots-c10,flashbots,concentration=10,buy_x,1,0.0099999,100.0010000100001,-0.0999999999995449
flashbots-c10,flashbots,concentration=10,buy_x,10,0.09999,100.01000100010002,-1.000000000001
flashbots-c10,flashbots,concentration=10,buy_x,50,0.499750124,100.0500001876938,-4.9975199999996445
flashbots-c10,flashbots,concentration=10,buy_x,100,0.999000999,100.10000000010011,-9.990010000000549
flashbots-c10,flashbots,concentration=10,buy_x,500,4.975124378,100.500000002211,-49.7512439999992
flashbots-c10,flashbots,concentration=10,buy_x,1000,9.900990099,101.00000000010101,-99.00990100000118
flashbots-c10,flashbots,concentration=10,buy_x,2500,24.390243902,102.500000001845,-243.90243919999998
flashbots-c10,flashbots,concentration=10,sell_x,0.0001,0.009999999,99.99999,-0.0010000000005838672
flashbots-c10,flashbots,concentration=10,sell_x,0.001,0.0999999,99.9999,-0.010000000000287557
flashbots-c10,flashbots,concentration=10,sell_x,0.01,0.99999,99.99900000000001,-0.0999999999995449
flashbots-c10,flashbots,concentration=10,sell_x,0.1,9.999000099,99.99000099,-0.9999010000005804
flashbots-c10,flashbots,concentration=10,sell_x,0.5,49.975012493,99.950024986,-4.997501399999216
flashbots-c10,flashbots,concentration=10,sell_x,1,99.9000999,99.9000999,-9.990009999999439
flashbots-c10,flashbots,concentration=10,sell_x,5,497.51243781,99.502487562,-49.75124380000029
flashbots-c10,flashbots,concentration=10,sell_x,10,990.0990099,99.00990099,-99.00990099999896
flashbots-c10,flashbots,concentration=10,sell_x,25,2439.024390243,97.56097560972,-243.9024390279998
dodo-k50000000000000000,dodo,K=50000000000000000,buy_x,0.01,0.000099999,100.0010000100001,-0.0999999999995449
