strategy,family,parameter,simulations,steps,positive_net_rate,total_net_edge,net_edge_mean,net_edge_p5,net_edge_p50,net_edge_p95,retail_edge_mean,arbitrage_edge_mean,arbitrage_loss_mean,retail_flow_share_mean,retail_notional_mean,arb_count_mean,arb_notional_mean,final_inventory_deviation_mean,max_inventory_deviation_mean,max_inventory_deviation_p95,curve_reverts
dodo-k20000000000000000,dodo,K=20000000000000000,1000,10000,0.605,4.82318978466231,0.0048231897846623085,-0.0375614557174373,0.0022393141726340104,0.05391306887702996,30.127588213808306,-30.12276502402362,30.122765024023632,0.9869371057339638,158311.76193151766,660.587,78740.1831090667,0.0005121097187323903,0.11001495015748725,0.22955289710824262,0
flashbots-c50,flashbots,concentration=50,1000,10000,0.654,5.43024872735084,0.00543024872735084,-0.02391358136773647,0.002637960041759868,0.04138956086649159,30.12312627517036,-30.117696026442996,30.117696026443,0.9868935625655756,158305.89365699718,669.702,79013.14382857249,-0.00003115180125116575,0.10987576487156757,0.22566761425317197,0
dodo-k10000000000000000,dodo,K=10000000000000000,1000,10000,0.639,3.5373953979156636,0.0035373953979156636,-0.018085709081802293,0.0018090211546848423,0.02959471787726997,15.120821517124442,-15.117284121726549,15.117284121726538,0.9876746056870908,158424.84857909696,439.783,67051.26549819243,0.00040642670716121705,0.11051602742438195,0.23022445242132916,0
flashbots-c100,flashbots,concentration=100,1000,10000,0.713,4.059154899421627,0.004059154899421627,-0.011076330159816905,0.002179524558478363,0.02426177725535439,15.082970672746344,-15.078911517846912,15.078911517846933,0.9876556467904547,158422.58383037764,445.933,67258.7214950205,-0.00001739050750367796,0.11043768458282485,0.22695161588967253,0
dodo-k1000000000000000,dodo,K=1000000000000000,1000,10000,0.748,1.9680247800436077,0.0019680247800436088,-0.003114690264993003,0.0014923100424859559,0.008401131848122467,1.528435973713859,-1.5264679489338147,1.5264679489338147,0.9882747287936565,158515.97274880184,86.859,32820.620113852376,0.0026013943272619696,0.11571592528604997,0.23364125795262639,0
flashbots-c1000,flashbots,concentration=1000,1000,10000,0.852,2.4243747217608185,0.0024243747217608204,-0.0015154683938548574,0.0017486664698564969,0.00818792190895934,1.5082154848827687,-1.5057911101610084,1.505791110161008,0.9882671035384298,158514.85486984396,87.421,32813.00902190102,-0.00007097559866657498,0.11480420892524464,0.22634165486711255,0
univ2-zero-fee,univ2,fee=0,1000,10000,0.001,-398839.40122332284,-398.8394012233229,-1108.3422741466866,-294.91956598590934,-4.6522294115547425,502.58496784890997,-901.4243690722328,901.4243690722329,0.7327062737742682,116523.42270383037,5934.29,179980.57464559656,0.06066407743340235,0.24433121681783743,0.6130971259219666,0
univ3-full-range-zero-fee,univ3-full-range,"fee=0, range=full, marginalImpactFactor=1",1000,10000,0.001,-398835.23200604727,-398.83523200604753,-1108.5075307406814,-295.1377616879337,-4.61137194964499,502.5777095772109,-901.4129415832573,901.4129415832585,0.7327059728568159,116522.6385586865,5934.222,179979.33211529377,0.060664271044765385,0.24433588243040166,0.6130986187961344,0
univ3-conc-c2,univ3-concentrated,"fee=0, halfWidth=13864 ticks, marginalImpactFactor=1.999963",1000,10000,0.001,-796434.5401105026,-796.4345401105027,-2224.1626200135383,-587.3318587631659,-9.921791035508477,410.6523694802868,-1207.0869095907892,1207.0869095907874,0.8564933165265598,136825.5196004706,6476.638,313470.1517046932,0.11984723175107707,0.47370399670715996,1.218644972628301,0
univ3-conc-c5,univ3-concentrated,"fee=0, halfWidth=4463 ticks, marginalImpactFactor=5.000094",1000,10000,0,-1573513.538475905,-1573.5135384759042,-4474.705458888312,-1211.2968730849655,-25.75328296123321,222.34171344809124,-1795.855251923995,1795.8552519239959,0.8444362034816676,135011.81241460633,6252.387,588071.0755296999,0.17644920751406343,0.8098925210116708,1.2499941316001721,0
univ3-conc-c10,univ3-concentrated,"fee=0, halfWidth=2107 ticks, marginalImpactFactor=10.001420",1000,10000,0,-2061817.5786053322,-2061.817578605332,-6051.404091090022,-1450.912142425805,-51.1926422713709,116.24175539026392,-2178.0593339955967,2178.0593339955976,0.6885905954891832,110389.80963134147,5082.461,794902.9661610377,0.17140797068713368,0.9269927210812141,1.1110936005246672,0
univ3-conc-c20,univ3-concentrated,"fee=0, halfWidth=1026 ticks, marginalImpactFactor=19.998426",1000,10000,0,-2405428.608500388,-2405.4286085003837,-7272.839615585871,-1581.8247242638872,-95.34130388462489,72.76951406055787,-2478.1981225609493,2478.198122560947,0.49994741163214745,80228.09450967317,3730.05,972623.1641808368,0.1554688462450743,0.9788842632515294,1.052635959972079,0
univ3-conc-c50,univ3-concentrated,"fee=0, halfWidth=404 ticks, marginalImpactFactor=50.009108",1000,10000,0,-2668196.0337724355,-2668.1960337724354,-8331.129982052887,-1846.8230163391775,-123.95348705511566,66.71647890830656,-2734.9125126807435,2734.9125126807485,0.2979101771400959,48025.09625069907,2212.611,1136912.377682292,0.13227091625563794,0.9998796780644095,1.0204043915810639,0
univ3-conc-c100,univ3-concentrated,"fee=0, halfWidth=201 ticks, marginalImpactFactor=100.008300",1000,10000,0,-2749519.0054565985,-2749.519005456595,-8655.173036711913,-1905.9187785924626,-106.5322492490507,72.78607096215491,-2822.305076418752,2822.305076418753,0.19735143390491044,32002.903738054647,1433.916,1208835.6294269268,0.11955305018001579,1.0045716069680086,1.0101001767333349,0
univ3-conc-c1000,univ3-concentrated,"fee=0, halfWidth=20 ticks, marginalImpactFactor=1000.550082",1000,10000,0,-2805214.087782073,-2805.2140877820702,-9045.1296510337,-1887.6245373555034,-108.21811519543306,89.64221352534,-2894.85630130741,2894.856301307415,0.07064237576620722,11558.32338426189,429.536,1289679.283254743,0.11570131562177918,1.0009816661751079,1.0010004531782868,0
