treatment,baseline,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
univ3-conc-c5,univ2-zero-fee,arbitrageEdge,1000,-1523.437952680177,-8481.353093227472,-380.6679338331628,1667.6927684141356,122.12545552431334,-1762.7994471033794,-1284.0764582569745,-12.474368641162476,0.434,true
univ3-conc-c10,univ2-zero-fee,netEdge,1000,-1662.1655591609772,-5234.487500004808,-1099.1179705931927,-13.776690169395863,54.852647215755674,-1769.6747721605395,-1554.6563461614148,-30.302376339706406,0.025,true
univ3-conc-c10,univ2-zero-fee,retailEdge,1000,3017.1434495869994,-2226.663035335107,-44.70004133556745,18158.115232361743,217.6937073051377,2590.4716236079253,3443.8152755660735,13.859580448772086,0.495,true
univ3-conc-c10,univ2-zero-fee,arbitrageEdge,1000,-4679.309008747979,-19383.00322291843,-2700.2500532504255,1672.2920330042384,218.5505845428211,-5107.660283252084,-4250.957734243873,-21.410645130675235,0.296,true
univ3-conc-c20,univ2-zero-fee,netEdge,1000,-2005.3648990626614,-6528.834593115016,-1291.2006993747896,-14.292132733610885,68.59476731135405,-2139.808172520821,-1870.921625604502,-29.2349544675943,0.037,true
univ3-conc-c20,univ2-zero-fee,retailEdge,1000,5554.460001474585,-1871.83107176928,2399.703080036445,23884.251645998374,268.63288653838777,5027.94921879631,6080.97078415286,20.67676848151222,0.675,true
univ3-conc-c20,univ2-zero-fee,arbitrageEdge,1000,-7559.824900537232,-25331.57799214746,-5654.222636112441,1330.740628137749,270.38050171725195,-8089.760946024916,-7029.888855049548,-27.959948489343557,0.203,true
univ3-conc-c50,univ2-zero-fee,netEdge,1000,-2267.873292575318,-7488.506673153774,-1472.0300576990237,3.3792311642550885,79.47960442057092,-2423.6504547451273,-2112.0961304055086,-28.534028435455408,0.053,true
univ3-conc-c50,univ2-zero-fee,retailEdge,1000,7828.5969207606195,-1286.7198291614604,5232.147528161939,27473.80420452047,293.69505426437905,7252.9651919648995,8404.228649556338,26.655528607279358,0.826,true
univ3-conc-c50,univ2-zero-fee,arbitrageEdge,1000,-10096.470213335917,-28905.699580436893,-8467.672035666572,886.914955185302,297.6376255331709,-10679.82923982495,-9513.111186846883,-33.92202244339801,0.107,true
univ3-conc-c100,univ2-zero-fee,netEdge,1000,-2348.9789662959406,-7895.806137948919,-1453.7472132596326,31.528273259660068,82.27211953540716,-2510.229357517113,-2187.7285750747683,-28.551336461983563,0.056,true
univ3-conc-c100,univ2-zero-fee,retailEdge,1000,8796.512180624584,-925.3357683408933,6267.709421092953,28450.496801346373,299.2611391629305,8209.971125892811,9383.053235356358,29.39410110256711,0.872,true
univ3-conc-c100,univ2-zero-fee,arbitrageEdge,1000,-11145.491146920514,-30120.340889022515,-9635.792370610934,493.4423570555509,303.83493581390735,-11740.996678360812,-10549.985615480216,-36.68271759817277,0.071,true
univ3-conc-c1000,univ2-zero-fee,netEdge,1000,-2404.5875274410637,-8115.85794036583,-1472.0313573247663,13.695296767452874,84.50166158067087,-2570.2077407729707,-2238.9673141091566,-28.45609757798059,0.054,true
univ3-conc-c1000,univ2-zero-fee,retailEdge,1000,9811.307456176768,-204.90993462920824,7295.9145619550945,29830.206921155583,301.6057790215645,9220.170991765355,10402.44392058818,32.53023694706881,0.943,true
